Var1,Var2
3.88,0.86
3.89,0.86
3.9,0.86
3.91,0.86
3.92,0.86
3.93,0.86
3.94,0.86
3.95,0.86
3.96,0.86
3.97,0.86
3.98,0.86
3.99,0.86
4,0.86
4.01,0.86
4.02,0.86
4.03,0.86
4.04,0.86
4.05,0.86
4.06,0.86
4.07,0.86
4.08,0.86
4.09,0.86
4.1,0.86
4.11,0.86
4.12,0.86
4.13,0.86
4.14,0.86
4.15,0.86
4.16,0.86
4.17,0.86
4.18,0.86
4.19,0.86
4.2,0.86
4.21,0.86
4.22,0.86
4.23,0.86
4.24,0.86
4.25,0.86
4.26,0.86
4.27,0.86
4.28,0.86
4.29,0.86
4.3,0.86
4.31,0.86
4.32,0.86
4.33,0.86
4.34,0.86
4.35,0.86
4.36,0.86
4.37,0.86
4.38,0.86
4.39,0.86
4.4,0.86
4.41,0.86
4.42,0.86
4.43,0.86
4.44,0.86
4.45,0.86
4.46,0.88
4.47,0.88
4.48,0.88
4.49,0.88
4.5,0.88
4.51,0.88
4.52,0.9
4.53,0.9
4.54,0.9
4.55,0.9
4.56,0.9
4.57,0.9
4.58,0.9
4.59,0.9
4.6,0.9
4.61,0.9
4.62,0.9
4.63,0.9
4.64,0.9
4.65,0.9
4.66,0.9
4.67,0.9
4.68,0.9
4.69,0.9
4.7,0.92
4.71,0.92
4.72,0.92
4.73,0.92
4.74,0.92
4.75,0.92
4.76,0.92
4.77,0.92
4.78,0.92
4.79,0.92
4.8,0.92
4.81,0.92
4.82,0.92
4.83,0.92
4.84,0.92
4.85,0.92
4.86,0.94
4.87,0.94
4.88,0.94
4.89,0.94
4.9,0.94
4.91,0.96
4.92,0.96
4.93,0.98
4.94,0.98
4.95,0.98
4.96,0.98
4.97,0.98
4.98,0.98
4.99,0.98
5,1
