B1,B2
0.4,3.55873107910157
0.6,2.6971435546875
0.8,2.996826171875
1,3.14666748046875
1.2,3.18412780761718
1.4,2.73460388183594
1.6,3.33396911621093
1.8,2.77206420898438
2,2.996826171875
2.2,3.10920715332031
2.4,3.07174682617187
2.6,3.14666748046876
2.8,2.95936584472656
3,2.95936584472656
3.2,3.2965087890625
3.4,3.07174682617187
3.6,2.77206420898438
4.8,4.86984252929687
5,4.99501635948018
5.2,4.83238220214843
5.4,4.99040256041484
5.6,4.99659614273334
6.8,1.87301635742187
7,1.08634948730469
7.2,1.57333374023438
7.4,1.34857177734375
7.6,1.38603210449219
8.8,4.83238220214841
9,4.94476318359377
9.2,4.86984252929689
9.4,4.94476318359373
9.6,4.9941473224902
10.8,2.84698486328123
11,2.92190551757813
11.2,2.5847625732422
11.4,2.32254028320312
11.6,2.62222290039063
12.8,4.99776188060509
13,4.99248732940694
13.2,4.90730285644533
13.4,4.99744904884541
13.6,4.94476318359377
13.8,4.98222351074216
14,4.94476318359377
14.2,4.94476318359377
14.4,4.94476318359377
14.6,4.94476318359368
14.8,4.98222351074221
15,4.86984252929689
15.2,4.99494042948335
15.4,4.94476318359377
15.6,4.98222351074211
15.8,4.94476318359377
16,4.99300923277343
16.2,4.98222351074221
16.4,4.90730285644533
16.6,4.99109096747464
16.8,4.68254089355471
17,4.98222351074221
17.2,4.99040708574795
17.4,4.94476318359377
17.6,4.90730285644524
17.8,4.83238220214846
18,4.99452784470036
18.2,4.98222351074221
18.4,4.99861375557171
18.6,4.99850705994441
18.8,4.90730285644533
19,4.72000122070314
19.2,4.86984252929689
19.4,4.99742491745876
19.6,4.75746154785149
19.8,4.90730285644533
20,4.79492187500002
20.2,4.99159282744016
20.4,4.90730285644533
20.6,4.94476318359368
20.8,4.99745717821028
21,4.98222351074221
21.2,4.86984252929689
21.4,4.98222351074221
21.6,4.99185715173931
21.8,4.98222351074221
22,4.99756475031275
22.2,4.98222351074221
22.4,4.99070736376813
22.6,4.99650016234015
22.8,4.99803404749569
23,4.98222351074221
23.2,4.90730285644533
23.4,4.94476318359377
23.6,4.8698425292968
23.8,4.94476318359377
24,4.90730285644533
24.2,4.79492187500002
24.4,4.99748916142024
24.6,4.98222351074211
24.8,4.99383955323853
25,4.90730285644533
25.2,4.99526711151097
25.4,4.99648340492937
25.6,4.72000122070305
25.8,4.94476318359377
26,4.98222351074221
26.2,4.72000122070314
26.4,4.79492187500002
26.6,4.98222351074211
26.8,4.86984252929689
27,4.86984252929689
27.2,4.94476318359377
27.4,4.86984252929689
27.6,4.8698425292968
27.8,4.90730285644533
28,4.79492187500002
28.2,4.94476318359377
28.4,4.86984252929689
28.6,4.75746154785149
28.8,4.86984252929689
29,4.86984252929689
29.2,4.94476318359377
29.4,4.86984252929689
29.6,4.94476318359368
29.8,4.72000122070314
30,4.90730285644533
30.2,4.94476318359368
30.4,4.86984252929698
30.6,4.90730285644524
30.8,4.7949218750001
31,4.79492187499993
31.2,4.8698425292968
31.4,4.75746154785167
31.6,4.8698425292968
31.8,4.94476318359385
32,4.94476318359368
32.2,4.99169171372104
32.4,4.94476318359385
32.6,4.79492187499993
32.8,4.83238220214854
33,4.94476318359368
33.2,4.90730285644524
33.4,4.68254089355479
33.6,4.90730285644524
33.8,4.86984252929698
34,4.83238220214837
34.2,4.90730285644524
34.4,4.86984252929698
34.6,4.98222351074211
34.8,4.7949218750001
35,4.90730285644524
35.2,4.94476318359368
35.4,4.94476318359385
35.6,4.99414735908847
35.8,4.7949218750001
36,4.94476318359368
36.2,4.79492187499993
36.4,4.86984252929698
36.6,4.83238220214837
36.8,4.94476318359385
37,4.90730285644524
37.2,4.98222351074211
37.4,4.86984252929698
37.6,4.98222351074211
37.8,4.86984252929698
