1,5,0.815604
1,6,0.58471
1,7,1.52212
1,8,0.800755
1,9,0.747692
1,10,1.40935
1,11,0.388605
2,6,1.36062
2,7,0.760668
2,8,0.740821
2,9,1.32685
2,10,0.51682
2,11,0.458601
3,7,0.754638
3,8,0.667666
3,9,0.511207
3,10,0.565285
3,11,0.346001
4,8,0.929054
4,9,0.544761
4,10,0.489869
4,11,0.40764
5,1,0.973541
5,9,1.15271
5,10,0.404256
5,11,0.343265
6,1,0.544372
6,2,0.47952
6,10,1.47817
6,11,0.369084
7,1,0.592394
7,2,0.61646
7,3,0.518655
7,11,1.23718
8,1,0.673074
8,2,0.688196
8,3,0.588487
8,4,1.53312
9,1,0.578533
9,2,0.555399
9,3,0.513326
9,4,0.619007
9,5,1.507
10,1,0.451413
10,2,0.526328
10,3,0.442502
10,4,0.587926
10,5,0.434052
10,6,1.49658
11,1,0.365783
11,2,0.423454
11,3,0.37886
11,4,0.434211
11,5,0.374945
11,6,0.465949
11,7,1.15103
