Var1,Var2
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0
1.62,0
1.63,0
1.64,0
1.65,0
1.66,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,0
1.72,0
1.73,0
1.74,0
1.75,0
1.76,0
1.77,0
1.78,0
1.79,0
1.8,0
1.81,0
1.82,0
1.83,0
1.84,0
1.85,0
1.86,0
1.87,0
1.88,0
1.89,0
1.9,0
1.91,0
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,0
1.99,0
2,0
2.01,0
2.02,0
2.03,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0
2.1,0
2.11,0
2.12,0
2.13,0
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0.02
2.25,0.02
2.26,0.02
2.27,0.02
2.28,0.02
2.29,0.02
2.3,0.02
2.31,0.02
2.32,0.02
2.33,0.02
2.34,0.04
2.35,0.04
2.36,0.04
2.37,0.06
2.38,0.06
2.39,0.06
2.4,0.06
2.41,0.08
2.42,0.08
2.43,0.08
2.44,0.08
2.45,0.08
2.46,0.08
2.47,0.08
2.48,0.08
2.49,0.08
2.5,0.08
2.51,0.1
2.52,0.1
2.53,0.1
2.54,0.1
2.55,0.1
2.56,0.1
2.57,0.1
2.58,0.1
2.59,0.1
2.6,0.1
2.61,0.1
2.62,0.1
2.63,0.1
2.64,0.1
2.65,0.1
2.66,0.1
2.67,0.1
2.68,0.12
2.69,0.12
2.7,0.12
2.71,0.12
2.72,0.12
2.73,0.14
2.74,0.14
2.75,0.14
2.76,0.14
2.77,0.14
2.78,0.14
2.79,0.14
2.8,0.16
2.81,0.18
2.82,0.18
2.83,0.18
2.84,0.18
2.85,0.18
2.86,0.18
2.87,0.18
2.88,0.18
2.89,0.18
2.9,0.18
2.91,0.18
2.92,0.18
2.93,0.18
2.94,0.18
2.95,0.18
2.96,0.18
2.97,0.18
2.98,0.18
2.99,0.2
3,0.2
3.01,0.2
3.02,0.2
3.03,0.2
3.04,0.2
3.05,0.2
3.06,0.2
3.07,0.2
3.08,0.2
3.09,0.2
3.1,0.2
3.11,0.2
3.12,0.2
3.13,0.2
3.14,0.2
3.15,0.2
3.16,0.2
3.17,0.2
3.18,0.2
3.19,0.2
3.2,0.22
3.21,0.22
3.22,0.22
3.23,0.22
3.24,0.24
3.25,0.24
3.26,0.24
3.27,0.24
3.28,0.24
3.29,0.24
3.3,0.24
3.31,0.24
3.32,0.24
3.33,0.24
3.34,0.24
3.35,0.24
3.36,0.24
3.37,0.24
3.38,0.24
3.39,0.24
3.4,0.24
3.41,0.24
3.42,0.24
3.43,0.24
3.44,0.24
3.45,0.24
3.46,0.24
3.47,0.24
3.48,0.24
3.49,0.24
3.5,0.24
3.51,0.24
3.52,0.24
3.53,0.24
3.54,0.24
3.55,0.24
3.56,0.24
3.57,0.24
3.58,0.24
3.59,0.24
3.6,0.24
3.61,0.24
3.62,0.24
3.63,0.24
3.64,0.24
3.65,0.24
3.66,0.24
3.67,0.24
3.68,0.24
3.69,0.24
3.7,0.26
3.71,0.26
3.72,0.26
3.73,0.26
3.74,0.26
3.75,0.26
3.76,0.26
3.77,0.26
3.78,0.26
3.79,0.26
3.8,0.26
3.81,0.26
3.82,0.26
3.83,0.26
3.84,0.26
3.85,0.26
3.86,0.26
3.87,0.26
3.88,0.26
3.89,0.26
3.9,0.26
3.91,0.26
3.92,0.26
3.93,0.26
3.94,0.26
3.95,0.26
3.96,0.26
3.97,0.26
3.98,0.26
3.99,0.26
4,0.26
4.01,0.26
4.02,0.26
4.03,0.26
4.04,0.26
4.05,0.26
4.06,0.26
4.07,0.28
4.08,0.28
4.09,0.28
4.1,0.28
4.11,0.28
4.12,0.28
4.13,0.28
4.14,0.28
4.15,0.28
4.16,0.28
4.17,0.28
4.18,0.3
4.19,0.3
4.2,0.32
4.21,0.34
4.22,0.34
4.23,0.34
4.24,0.34
4.25,0.36
4.26,0.36
4.27,0.36
4.28,0.36
4.29,0.36
4.3,0.36
4.31,0.44
4.32,0.46
4.33,0.46
4.34,0.5
4.35,0.54
4.36,0.56
4.37,0.56
4.38,0.58
4.39,0.62
4.4,0.66
4.41,0.72
4.42,0.74
4.43,0.76
4.44,0.82
4.45,0.84
4.46,0.86
4.47,0.86
4.48,0.86
4.49,0.86
4.5,0.88
4.51,0.88
4.52,0.9
4.53,0.9
4.54,0.9
4.55,0.9
4.56,0.9
4.57,0.9
4.58,0.9
4.59,0.9
4.6,0.9
4.61,0.9
4.62,0.9
4.63,0.92
4.64,0.92
4.65,0.92
4.66,0.92
4.67,0.92
4.68,0.92
4.69,0.92
4.7,0.92
4.71,0.92
4.72,0.92
4.73,0.92
4.74,0.92
4.75,0.92
4.76,0.92
4.77,0.92
4.78,0.92
4.79,0.92
4.8,0.92
4.81,0.92
4.82,0.92
4.83,0.92
4.84,0.92
4.85,0.92
4.86,0.92
4.87,0.92
4.88,0.92
4.89,0.92
4.9,0.92
4.91,0.92
4.92,0.94
4.93,0.96
4.94,0.96
4.95,0.96
4.96,0.96
4.97,0.96
4.98,0.96
4.99,0.96
5,1
5.01,1
5.02,1
5.03,1
5.04,1
5.05,1
5.06,1
5.07,1
5.08,1
5.09,1
5.1,1
5.11,1
5.12,1
5.13,1
5.14,1
5.15,1
5.16,1
5.17,1
5.18,1
5.19,1
5.2,1
5.21,1
5.22,1
5.23,1
5.24,1
5.25,1
5.26,1
5.27,1
5.28,1
5.29,1
5.3,1
5.31,1
