1,3.30738
2,2.90672
3,4.67432
4,4.90214
5,4.95714
6,4.74502
7,5.51491
8,5.12211
9,4.92571
10,4.93357
11,4.84715
12,4.93357
13,4.91786
14,4.70574
15,3.69232
16,5.51491
17,4.88643
18,3.48021
19,4.94928
20,4.90214
21,4.84715
22,3.73946
23,3.17382
24,4.85501
25,4.69789
26,4.81573
27,4.80787
28,4.56434
29,4.99642
30,5.41278
31,4.91
32,4.83144
33,2.83602
34,4.93357
35,4.80787
36,2.86744
37,3.29952
38,4.80002
39,5.4285
40,2.73389
41,3.22096
42,4.88643
43,4.1951
44,4.89429
45,3.00099
46,4.87072
47,4.80002
48,4.89429
49,4.8393
50,5.01213
