B1,B2
0.400065599,4.79334968027162
0.600070499,4.99185276313607
0.800088331,4.90686536032979
1.0001504,4.90578037203576
1.200157499,4.99094208062924
2.40021925,3.1087587770419
2.600241799,2.99648833279792
2.800269962,2.99640423321291
3.000308907,3.03369576261606
3.20036965,2.69632464044933
4.400427489,4.27025045921749
4.600438499,3.37124385638508
4.800504098,3.85714857084356
5.000513699,3.74585289517552
5.200525875,3.97055295047074
5.400538613,4.34512120844898
5.6005441,3.63355204689804
5.8005537,4.19535526357234
6.000563299,3.85822852061122
7.200622549,3.03353342435083
7.400624296,3.07171999469773
7.600626306,3.10917590610245
7.800651349,2.65935023699913
8.000716948,2.39667484013581
9.200776148,4.9435372110831
9.400785749,4.9819843505834
9.60079535,4.94452582163169
9.800860949,4.83079772464874
10.00087055,4.98198435058344
10.200893483,4.98165228958241
10.400902051,4.86963391418
10.600906832,4.869726118494
10.800910599,4.9821296723298
12.000969799,3.14588728469271
12.20097728,3.07163193177947
12.400988998,3.25885752545163
12.60099316,2.95930426160489
12.801,2.95926463787594
14.001043904,4.90644435134495
14.201077049,4.98139796856387
14.401141946,4.99873013183706
14.601152249,4.99086624143861
14.801217848,4.90569381340293
16.001270349,1.5355440388896
16.201286648,1.72303463012093
16.40129625,1.23613144922755
16.601361849,1.49792177508489
16.80137145,1.61071674492546
18.001430698,2.54723010853709
18.201440299,2.39734585291232
18.401505078,3.40778600565954
18.601515499,2.58462790120537
18.801581098,2.73370723952993
20.00160314,3.74579970737291
20.201627948,4.12012492603233
20.4016595,3.22107997718839
20.601707013,3.74514299994701
20.8017347,4.79425818186854
21.00174179,4.90712889872586
21.201809949,4.98052617232528
21.401875548,3.89459661522072
21.601885149,3.89568701098251
22.801925082,4.90699793559357
23.001953949,4.99367640753775
23.20196369,4.99902459595001
23.402029149,4.99721501781133
23.602059625,4.98146443519159
23.802076434,4.8319760987172
24.002169948,4.99453118480795
24.20217955,4.86960873938126
24.402245149,4.90569381340302
25.602248399,3.59614735344493
25.802313998,3.29542790518677
26.002323599,2.77193114242986
26.202379982,2.62148386476689
26.402398799,2.88417383293462
27.602457999,3.67100527100358
27.802462787,3.6335647458584
28.00250355,3.55800590412821
28.202519064,3.59591247131959
28.402585379,3.59499939432581
29.602667699,4.94353597550551
29.802677299,4.94452584635318
30.0026869,4.75723317687287
30.202752548,4.90569261190241
30.402762149,4.98198435058349
30.602809267,4.99042493164566
30.802835695,4.98156524671046
31.002850459,4.99035111464801
31.202883308,4.83158863787271
31.402933449,4.99842386918322
31.60298775,4.75617022385507
31.803053247,4.9805924414264
32.00306295,4.86960628034821
32.203128598,4.79334850628632
32.403138199,4.79469170582472
32.603203798,4.94314185777997
32.803213399,4.90706729267998
33.003265507,4.90602464078537
33.2032782,4.94444938411364
33.403327113,4.98100533117328
33.603332204,4.98209669147105
33.803350212,4.98177495172551
34.003438999,4.99029407218239
34.203504599,4.90569378888251
34.4035142,4.86960876372823
34.603579799,4.71845359151725
34.8035894,4.98198435058349
35.003654999,4.94314185778015
35.20366465,4.94452458555982
35.403676263,4.90701793044916
35.60373985,4.90574314899735
35.803805449,4.94314185777997
36.003814991,4.99042833051757
36.203830745,4.86945896201446
36.403836054,4.98209126112953
36.603844823,4.90708770518487
36.8038551,4.98196751234164
37.003859888,4.99514624351277
37.203862694,4.99199719531111
37.403883949,4.86932504177816
37.603902669,4.99858113661373
37.803959149,4.98081692804169
