1,2.34894
2,2.0897
3,4.94928
4,2.26253
5,2.12112
6,2.0347
7,2.13683
8,2.26253
9,2.29395
10,2.09755
11,2.21539
12,1.964
13,2.71032
14,2.20754
15,2.15254
16,2.14469
17,2.20754
18,2.16826
19,2.20754
20,2.12112
21,2.30181
22,2.25467
23,2.15254
24,2.19182
25,2.18397
26,2.21539
27,1.98757
28,2.09755
29,2.31752
30,1.99542
31,2.23896
32,3.04027
33,2.0347
34,2.0897
35,2.34109
36,2.2861
37,2.18397
38,2.30181
39,2.26253
40,2.13683
41,2.41965
42,2.20754
43,2.71032
44,2.26253
45,2.8203
46,2.12112
47,2.1604
48,2.0347
49,2.31752
50,2.17611
