1,5,0.529635
1,6,0.323615
1,7,0.450287
1,8,0.487762
1,9,0.476444
1,10,0.391588
1,11,0.239185
2,6,0.994672
2,7,0.382759
2,8,0.481326
2,9,0.424295
2,10,0.421983
2,11,0.24052
3,7,1.95993
3,8,0.543272
3,9,0.585541
3,10,0.477732
3,11,0.365737
4,8,0.743621
4,9,0.432441
4,10,0.381859
4,11,0.38308
5,1,0.966528
5,9,2.0365
5,10,0.350121
5,11,0.264258
6,1,0.44843
6,2,0.633114
6,10,0.646793
6,11,1.32785
7,1,0.612589
7,2,0.56411
7,3,1.35827
7,11,1.67958
8,1,0.82748
8,2,1.63993
8,3,1.78179
8,4,2.13881
9,1,1.48387
9,2,0.766237
9,3,0.567984
9,4,0.590693
9,5,2.05281
10,1,1.52225
10,2,0.561669
10,3,0.695796
10,4,0.584763
10,5,0.577405
10,6,1.40816
11,1,1.01086
11,2,0.260226
11,3,0.583906
11,4,0.285783
11,5,0.364504
11,6,0.39983
11,7,1.08919
